Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
[40/63] Loss: 0.1086, Accuracy: 0.9619
[50/63] Loss: 0.1098, Accuracy: 0.9622
[60/63] Loss: 0.1085, Accuracy: 0.9629
[0/16] Loss: 0.0085, Accuracy: 1.0000
[10/16] Loss: 0.0108, Accuracy: 1.0000
Epoch [28/100] Train Loss: 0.1090, Train Accuracy: 0.9626, Val Loss: 0.0107, Val Accuracy: 1.0000
[0/63] Loss: 0.1323, Accuracy: 0.9453
[10/63] Loss: 0.1235, Accuracy: 0.9560
[20/63] Loss: 0.1117, Accuracy: 0.9606
[30/63] Loss: 0.1036, Accuracy: 0.9652
[40/63] Loss: 0.1036, Accuracy: 0.9659
[50/63] Loss: 0.1031, Accuracy: 0.9654
[60/63] Loss: 0.1019, Accuracy: 0.9661
[0/16] Loss: 0.0096, Accuracy: 1.0000
[10/16] Loss: 0.0090, Accuracy: 1.0000
Epoch [29/100] Train Loss: 0.1013, Train Accuracy: 0.9661, Val Loss: 0.0089, Val Accuracy: 1.0000
[0/63] Loss: 0.0918, Accuracy: 0.9688
[10/63] Loss: 0.1022, Accuracy: 0.9709
[20/63] Loss: 0.0966, Accuracy: 0.9714
[30/63] Loss: 0.0943, Accuracy: 0.9710
[40/63] Loss: 0.0915, Accuracy: 0.9718
[50/63] Loss: 0.0889, Accuracy: 0.9710
[60/63] Loss: 0.0857, Accuracy: 0.9721
[0/16] Loss: 0.0041, Accuracy: 1.0000
[10/16] Loss: 0.0040, Accuracy: 1.0000
Epoch [30/100] Train Loss: 0.0852, Train Accuracy: 0.9726, Val Loss: 0.0040, Val Accuracy: 1.0000
[0/63] Loss: 0.0766, Accuracy: 0.9766
[10/63] Loss: 0.1033, Accuracy: 0.9616
[20/63] Loss: 0.0808, Accuracy: 0.9721
[30/63] Loss: 0.0827, Accuracy: 0.9728
[40/63] Loss: 0.0836, Accuracy: 0.9726
[50/63] Loss: 0.0790, Accuracy: 0.9740
[60/63] Loss: 0.0802, Accuracy: 0.9731
[0/16] Loss: 0.0039, Accuracy: 1.0000
[10/16] Loss: 0.0039, Accuracy: 1.0000
